id,name,street,city,state,accessible,unisex,directions,comment,latitude,longitude,created_at,updated_at,downvote,upvote,country,changing_table,edit_id,approved
28342,Target,4570 Frontage Rd NW,Cleveland,Tennessee ,True,False,,,35.216779,-84.8656639,2017-02-24T02:12:21.408Z,2017-02-24T02:12:21.408Z,0,0,US,False,28342,True
28620,Starbucks,3093 Mayfield Rd,Cleveland,Ohio,True,False,"Keep to the right of the counter, then follow the righthand shelves back around the corner. ",They don't seem to mind people just coming in for the bathroom,41.5161736,-81.5689851,2017-02-24T15:55:38.798Z,2017-02-24T15:55:38.798Z,0,0,US,False,28620,True
28651,Dewey's Coffee House,13201 Shaker Square,Cleveland,Ohio,True,True,,"Probably have to be a paying customer, but there are small very cheap food items",41.4846805,-81.5899745,2017-02-24T16:37:49.703Z,2017-02-24T16:37:49.703Z,0,0,US,False,28651,True
28989,Piccadilly Artisan Creamery, 11607 Euclid Ave,Cleveland,Ohio,False,False,It's in the back. Just ask where the bathroom is and there's a sign. ,,41.5109019,-81.6033302,2017-02-24T23:35:24.009Z,2017-02-24T23:35:24.009Z,0,0,US,False,28989,True
29703,CWRU Mandel School of Applied Social Sciences,11235 Bellflower Rd,Cleveland ,OH ,True,True,"Third floor bathrooms near the elevators are multi-stall with privacy details (i.e. no gaps in the door) and are entirely gender-neutral. 
There are gender-neutral private (single) bathrooms at the end of the faculty wing hall on each of the 3 floors (to the left if you are facing the front desk).",Open to members of CWRU and any public using the building for events or work. The building is access-card only outside of normal business hours (8-6 pm M-F).,41.510718,-81.607072,2017-02-25T18:52:09.393Z,2017-02-25T18:52:09.393Z,0,0,US,False,29703,True
29709,Tinkham Veale University Center,11038 Bellflower Rd ,Cleveland ,OH,True,False,"There is one gender-neutral bathroom (marked as such) on each floor next to the gendered, multi-stall bathrooms.",These are located in a student center that is open to the public between 7 AM and 11 PM daily. ,41.508117,-81.6086729,2017-02-25T18:58:32.055Z,2017-02-25T18:58:32.055Z,0,0,US,False,29709,True
29808,Rae-Ann Westpark,4650 Rocky River Drive,Cleveland,Ohio,False,False,Two single stall restrooms in the main lobby/office.,This is a nursing home but the office staff will usually allow people to use the office restrooms. Ring door buzzer if building doors are locked.,41.4287174,-81.8265559,2017-02-25T20:20:51.509Z,2017-02-25T20:20:51.509Z,0,0,US,False,29808,True
29812,Rae-Ann Westpark,4650 Rocky River Drive,Cleveland,Ohio,False,False,Two gendered single stall restrooms in the main lobby/office.,This is a nursing home but the office staff will usually allow people to use the office restrooms. Ring door buzzer if building doors are locked.,41.4287174,-81.8265559,2017-02-25T20:23:06.946Z,2017-02-25T20:23:06.946Z,0,0,US,False,29812,True
29890,Phoenix Coffee,3000 Bridge Ave,Cleveland,OH,False,False,Down the stairs to the left,Must go through cafe,41.4843304,-81.7088484,2017-02-25T21:28:21.370Z,2017-02-25T21:28:21.370Z,0,4,US,False,29890,True
30524,Superior Building,815 superior ave E,Cleveland,Oh,True,False,"On 1st floor, closer to Rockwell road entrance",Building doors open 7am-6pm EST,41.5023763,-81.6894022,2017-02-26T16:16:34.365Z,2020-04-14T21:17:03.790Z,0,0,US,False,30524,True
31274,Panera Bread,11490 Euclid Ave. ,Cleveland,Ohio,True,False,Both floors,,41.509547,-81.603576,2017-02-27T09:13:21.221Z,2017-02-27T09:13:21.221Z,0,1,US,False,31274,True
