Name,City,State
"Center for the Study of Gender and Sexuality & Center for the Study of Race, Politics and Culture, UChicago Campus",Chicago,IL
Uniqlo,Chicago,IL
Jupiter Outpost,Chicago,IL
Walmart,Chicago,IL
Walmart,Chicago,IL
Jane Addams College of Social Work,Chicago,IL
Millenium Knickerbocker Hotel,Chicago,IL
Perfect Cup,Chicago,IL
Third Unitarian Church,Chicago,IL
Geek Bar Beta,Chicago,IL
Four Belly,Chicago,IL
"Yolk, Lakeview",Chicago,IL
"Yolk, Lakeview",Chicago,IL
The Neo-Futurists,Chicago,IL
Argo Tea,Chicago,IL
Julius Meinl,Chicago,IL
Intelligentsia,Chicago,IL
Links Tap Room,Chicago,IL
Cassava,Chicago,IL
Xoco,Chicago,IL
Gallery Cafe,Chicago,IL
The Monarch,Chicago,IL
Standard Market Grill,Chicago,IL
Naansense,Chicago,IL
Argo tea cafe,Chicago,IL
Museum of Science and Industry,Chicago,IL
"Arts and Letters Hall, DePaul University",Chicago,IL
CDM DePaul University,Chicago,IL
Little Bad Wolf,Chicago,IL
Yolk Lakeview,Chicago,IL
Crosby's Kitchen,Chicago,IL
Columbia College,Chicago,IL
Intelligentsia Coffee,Chicago,IL
Glaze Teriyaki,Chicago,IL
Goddess and the Baker,Chicago,IL
The North End,Chicago,IL
Kitsch'n,Chicago,IL
Moretti's ,Chicago,IL
Navy Pier,Chicago,IL
Beer Bistro,Chicago,IL
Cheesie's Pub & Grub,Chicago,IL
Le Pita,Chicago,IL
Rogers Park Social,Chicago,IL
Starbucks,Chicago,IL
Kitchen Sink,Chicago,IL
True North,Chicago,IL
Steppenwolf Theatre,Chicago,IL
Intelligentsia Coffee,Chicago,IL
Walter Payton College Prep HS,Chicago,IL
Goddess and Grocer,Chicago,IL
Goddess and Grocer,Chicago,IL
Lula Cafe,Chicago,IL
"Lovely, Too",Chicago,IL
IIT - Hermann Hall,Chicago,IL
IIT - Tech North,Chicago,IL
Flat Iron Arts Building,Chicago,IL
Metropolis Coffee,Chicago,IL
Dove's Luncheonette,Chicago,IL
AC Hotel Lobby,Chicago,IL
AC Hotel Lobby,Chicago,IL
Planned Parenthood,Chicago,IL
Haywood Tavern ,Chicago,IL
Arclight Cinema,Chicago,IL
Aviary,Chicago,IL
Trump International Hotel and Tower,Chicago,IL
Intelligentsia Coffee,Chicago,IL
Intelligentsia Coffee,Chicago,IL
Kibbitznet Books,Chicago,IL
Peggy Notebaert Nature Museum,Chicago,IL
Bar Siena,Chicago,IL
Brown Elephant,Chicago,IL
Starbucks,Chicago,IL
Mikkey's 53,Chicago,IL
Elephant ,Chicago,IL
Lizard's Liquid Lounge,Chicago,IL
Center on Halsted,Chicago,IL
Davanti Enoteca (Taylor Street),Chicago,IL
The Annoyance Theatre and Bar,Chicago,IL
Emerald city coffee ,Chicago,IL
Starbucks,Chicago,IL
Starbucks,Chicago,IL
Argo Tea,Chicago,IL
Argo Tea,Chicago,IL
Bareburger,Chicago,IL
Forte Framing And Gallery,Chicago,IL
Taco Bell Cantina,Chicago,IL
Starbucks,Chicago,IL
Osmium Coffee Bar,Chicago,IL
Meadville Lombard Theological School,Chicago,IL
Cheesie's,Chicago,IL
Berlin Nightclub,Chicago,IL
Americano,Chicago,IL
Peet's Coffee,Chicago,IL
Peet's Coffee,Chicago,IL
Peet's Coffee,Chicago,IL
Bourgeois Pig Cafe,Chicago,IL
Starbucks,Chicago,IL
Starbucks,Chicago,IL
Starbucks,Chicago,IL
Gman Tavern,Chicago,IL
Columbia College Plymouth Dorm,Chicago,IL
Harris School (UChicago),Chicago,IL
Space Oddities,Chicago,IL
Scone City ,Chicago,IL
Scone City ,Chicago,IL
Hotel Allegro,Chicago,IL
Front Bar Coffee & Drinks,Chicago,IL
Cheesie's Pub and Grub,Chicago,IL
"DePaul Campus Building, Arts & Letters Hall",Chicago,IL
Cheesie's Pub & Grub,Chicago,IL
The Theatre School at DePaul University,Chicago,IL
